id;name;type;description;created_at;created_by;icon;version;category;rate;aie_metadata;user_id;is_public;organization_name;tenant_id
06bb115c-f145-41e8-b9a7-145e30214296;innocently gruesome;afraid happily actually;yahoo quirkily;2024-11-17T21:44:15;digestive forenenst impractical;treble quip to;tooth;favorite versus innocently;14058.25;against beloved than;till instead;false;chow;tenant providence
02d64725-0de4-4f49-a77d-84f87dc3add2;bran;decriminalize;ack assail ascertain;2024-11-18T05:07:41;uh-huh save;license sure-footed meh;hmph medium atop;uh-huh commandeer;20023.32;lest;in access;false;grouchy amidst;wonderfully stir-fry
7fa2e47e-18e5-4457-a180-fa50476b7668;oh meh sediment;minion midst;trick aha;2024-11-17T23:49:17;failing abnormally except;rebuke;vestment well-to-do whose;unpleasant;13881.19;peppery;phooey upon;true;loyally difficult really;permafrost
1bcb326a-5137-43f9-a150-520021be90fd;longingly who legislature;colorfully till;ah urban yahoo;2024-11-18T01:45:10;enroll lobotomise;reprimand;hateful toward accurate;violently oh;21049.1;yum where provided;painfully sauerkraut inure;true;joyously when;whenever excluding grass
e4770605-5a0b-4d2e-90e0-ccc9e693026d;expense;gifted fiercely;outside hm;2024-11-18T06:56:30;jubilantly;gurn;before while;across before cannon;19763.55;near hourly;luck;true;card excluding uh-huh;meh outrageous sans
0150e2ee-1775-439b-9998-e88c7762a73e;grizzled pressure crocodile;furthermore off;clinch;2024-11-17T23:53:24;embody;insignificant meanwhile drat;overplay insert;er because;25503.87;injunction around;since yowza;false;covenant;gloat bob
2114e77c-4145-40c2-854f-f41170a8e6d8;encode but huzzah;even so;despite yet that;2024-11-17T14:46:37;wearily congregate;broadside into phew;hunger;um ice-cream;5324.22;assail;knottily bah;false;huzzah;shear priesthood which
0664fa8f-494f-40d7-b041-44f26b77096b;stable;gee upwardly;embalm funny;2024-11-18T12:35:02;circa delete spellcheck;midst likely ah;aw;waltz blissfully absent;23497.32;forecast well-groomed;avaricious mmm;true;duster;sedately as
216a0fe9-c39e-4f4a-9a29-acb3d2793490;silently;openly certify hot;fluff of riser;2024-11-17T18:46:13;indeed stingy athwart;now dreamily till;leap till dulcimer;shark holster why;30452.96;until terribly yum;proper ugh orderly;false;multicolored till overconfidently;roughly
1ecbe31b-e7f8-4baa-af91-92f8761b166b;analogy;reapply;excellent blah who;2024-11-17T18:03:03;dissemble pillbox;acquaintance thyme;abscond strange;ouch management comb;11036.04;madly swanling gosh;indeed delight including;true;faithfully indeed;finally
